출처번호,문서제목,요약문서,원문,동일내용주소번호
40,[トモハタ] 특정기능 개호의 취업처와 경로 해설,https://docs.google.com/document/d/1e1XaG2CaWjfR0pLC4XbqT5jS6qBRMDNX2Xj8TFPX7Nk/edit?tab=t.0,https://tomohata.jp/guide/kaigo-saiyo,
41,[출입국재류관리청] 특정기능 재류외국인 통계 자료실,https://docs.google.com/document/d/1YrA_S2BEMUjIAwMqPHAmDfBKMpN56afelw1AF2GxZeU/edit?tab=t.0,https://www.moj.go.jp/isa/applications/ssw/nyuukokukanri07_00215.html?lang=en,
42,[후생노동성·미쓰비시UFJ리서치앤컨설팅] 해외 개호인재 확보력 강화 조사 — 인도·인도네시아,https://docs.google.com/document/d/1NaIGAtcJX6S7rmCNgFAUvf3vfZcirV-Ur_d_T2_CUvQ/edit?tab=t.0,https://www.murc.jp/wp-content/uploads/2026/04/koukai_260410_02.pdf,
43,[지바현] 외국인 개호인력 수용 경로와 현황,https://docs.google.com/document/d/111gMYoJ1WXIxQzMvV1nTy8s1qeNODe8ZamIzY8uffgM/edit?tab=t.0,https://www.pref.chiba.lg.jp/kenshidou/jinzai/gaikokujinkaigoshikumi.html,
44,[출입국재류관리청] 특정기능 1호 전환 준비를 위한 특정활동,https://docs.google.com/document/d/1q0lpGampEjvrrq52076BHDTXOLGMRrAFV3vzeouK5yE/edit?tab=t.0,https://www.moj.go.jp/isa/policies/ssw/10_00025,
45,[출입국재류관리청] 개호 재류자격 신청 안내,https://docs.google.com/document/d/1MBE0byGqUn95qI7IQ4_RcRAOhXWaujJsi9cp7brTjRM/edit?tab=t.0,https://www.moj.go.jp/isa/applications/status/nursingcare,
46,[출입국재류관리청] 2024년 말 재류외국인 통계 개설,https://docs.google.com/document/d/1h7cdrianL_9cULmHk--bMI4f5kTYRMjFwH5Tah4SEk0/edit?tab=t.0,https://www.moj.go.jp/isa/content/001442566.pdf,
47,[介護レピ Répit] 2025년 말 재류자격 개호의 도도부현별 분포,https://docs.google.com/document/d/1jqLbsWuwTgpzPz0hMFn4WYlHPtVQC1-yQiSDtwIlE0Q/edit?tab=t.0,https://kaigoaruaru.com/care-data/foreign-care-workers-prefecture-data/,
48,[후생노동성] 개호복지사 국가시험 응시·합격 추이,https://docs.google.com/document/d/1xweLMLm0y4vKvXTCr4CE8ASwfxz1rM6akTqj4cqniH8/edit?tab=t.0,https://www.mhlw.go.jp/content/12004000/001669882.pdf,
49,[후생노동성] 개호 특정기능 1호의 파트 합격에 따른 체류 연장,https://docs.google.com/document/d/19eyqQFhl6cnlD-SKITnN3sgVkbMWnbrXvnBeleTFCZc/edit?tab=t.0,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/seikatsuhogo/kaigo.tokuteiginou.extension,
